"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","538","Successful refresh of access token","tests.users_tests","Tue Dec 02 15:56:02 UTC 2025","passed","Tue Dec 02 15:56:02 UTC 2025","TestAuth","auth_tests","",""
"","512","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:56:07 UTC 2025","passed","Tue Dec 02 15:56:07 UTC 2025","TestUserRegistration","register_user_tests","",""
"","814","Verify service is working","tests.root_tests","Tue Dec 02 15:55:58 UTC 2025","passed","Tue Dec 02 15:55:59 UTC 2025","TestRoot","test_root","",""
"","505","Failed refresh of access token with invalid refresh token","tests.users_tests","Tue Dec 02 15:56:05 UTC 2025","passed","Tue Dec 02 15:56:06 UTC 2025","TestAuth","auth_tests","",""
"","400","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:56:05 UTC 2025","passed","Tue Dec 02 15:56:05 UTC 2025","TestUserRegistration","register_user_tests","",""
"","386","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:56:06 UTC 2025","passed","Tue Dec 02 15:56:07 UTC 2025","TestUserRegistration","register_user_tests","",""
"","539","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:56:05 UTC 2025","passed","Tue Dec 02 15:56:06 UTC 2025","TestUserRegistration","register_user_tests","",""
"","1086","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:55:58 UTC 2025","passed","Tue Dec 02 15:55:59 UTC 2025","TestAuth","auth_tests","",""
"","912","Successful authorization","tests.users_tests","Tue Dec 02 15:56:01 UTC 2025","passed","Tue Dec 02 15:56:02 UTC 2025","TestAuth","auth_tests","",""
"","394","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:56:05 UTC 2025","passed","Tue Dec 02 15:56:06 UTC 2025","TestUserRegistration","register_user_tests","",""
"","514","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:56:04 UTC 2025","passed","Tue Dec 02 15:56:04 UTC 2025","TestUserRegistration","register_user_tests","",""
"","575","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:55:58 UTC 2025","passed","Tue Dec 02 15:55:58 UTC 2025","TestAuth","auth_tests","",""
"","393","Failed refresh of access token with invalid refresh token","tests.users_tests","Tue Dec 02 15:56:03 UTC 2025","passed","Tue Dec 02 15:56:03 UTC 2025","TestAuth","auth_tests","",""
"","398","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:56:06 UTC 2025","passed","Tue Dec 02 15:56:06 UTC 2025","TestUserRegistration","register_user_tests","",""
"","1157","Successful registration","tests.users_tests","Tue Dec 02 15:56:04 UTC 2025","passed","Tue Dec 02 15:56:05 UTC 2025","TestUserRegistration","register_user_tests","",""
"","1139","Successful registration","tests.users_tests","Tue Dec 02 15:56:03 UTC 2025","passed","Tue Dec 02 15:56:04 UTC 2025","TestUserRegistration","register_user_tests","",""
"","2839","Successful registration","tests.users_tests","Tue Dec 02 15:55:59 UTC 2025","passed","Tue Dec 02 15:56:02 UTC 2025","TestUserRegistration","register_user_tests","",""
"","516","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:55:59 UTC 2025","passed","Tue Dec 02 15:55:59 UTC 2025","TestAuth","auth_tests","",""
"","388","Failed authorization with invalid auth data","tests.users_tests","Tue Dec 02 15:56:03 UTC 2025","passed","Tue Dec 02 15:56:03 UTC 2025","TestAuth","auth_tests","",""
"","504","Unsuccessful registration with invalid data","tests.users_tests","Tue Dec 02 15:56:03 UTC 2025","passed","Tue Dec 02 15:56:04 UTC 2025","TestUserRegistration","register_user_tests","",""
"","531","Verify service health","tests.root_tests","Tue Dec 02 15:55:58 UTC 2025","passed","Tue Dec 02 15:55:58 UTC 2025","TestHealth","test_health","",""
